DateTime,Actual Power (kW),Adjusted Baseline Power (kW),Savings Power (kW),Savings Energy (kWh),Cumulative Savings Energy (kWh),Negative Savings Flag,Cost Savings (RM),Cumulative Cost Savings (RM),Negative Cost Savings Flag
2025-04-23 19:30:00,929.4,2413.092,1483.692,741.846,7534978.172803607,0,270.77379,2750267.03307335,0
2025-04-23 20:00:00,874.2,2476.5293,1602.3293,801.16465,7535779.337453607,0,292.42509725,2750559.4581706,0
2025-04-23 20:30:00,872.0,2658.4617,1786.4616999999998,893.2308499999999,7536672.5683036065,0,326.02926024999994,2750885.4874308496,0
2025-04-23 21:00:00,792.2,2610.2625,1818.0625,909.03125,7537581.5995536065,0,331.79640625,2751217.2838370996,0
2025-04-23 21:30:00,823.2,2476.2827,1653.0827000000002,826.5413500000001,7538408.140903606,0,301.68759275,2751518.9714298495,0
2025-04-23 22:00:00,832.2,2428.7024,1596.5024,798.2512,7539206.392103606,0,291.361688,2751810.3331178497,0
2025-04-23 22:30:00,754.4,2500.3064,1745.9063999999998,872.9531999999999,7540079.345303606,0,318.62791799999997,2752128.9610358495,0
2025-04-23 23:00:00,770.0,2696.1555,1926.1555,963.07775,7541042.423053606,0,351.52337875,2752480.4844145994,0
2025-04-23 23:30:00,704.2,2628.9177,1924.7177,962.35885,7542004.781903607,0,351.26098025,2752831.745394849,0
2025-04-24 00:00:00,666.8,2560.0435,1893.2435000000005,946.62175,7542951.403653607,0,345.51693875,2753177.2623335994,0
2025-04-24 00:30:00,677.4,2740.221,2062.821,1031.4105,7543982.814153607,0,376.4648325,2753553.7271660995,0
2025-04-24 01:00:00,647.0,2652.3408,2005.3408,1002.6704,7544985.484553607,0,365.974696,2753919.7018620996,0
2025-04-24 01:30:00,662.0,2531.0615,1869.0615,934.53075,7545920.015303607,0,341.10372375,2754260.8055858496,0
2025-04-24 02:00:00,621.4,2528.3066,1906.9066,953.4533,7546873.468603607,0,348.0104545,2754608.8160403497,0
2025-04-24 02:30:00,614.4,2707.1797,2092.7797,1046.38985,7547919.858453607,0,381.93229525,2754990.7483355994,0
2025-04-24 03:00:00,597.8,2700.4644,2102.6644,1051.3321999999998,7548971.190653607,0,383.7362529999999,2755374.4845885993,0
2025-04-24 03:30:00,570.0,2834.6045,2264.6045,1132.30225,7550103.492903607,0,413.29032125,2755787.7749098493,0
2025-04-24 04:00:00,577.4,2796.316,2218.916,1109.458,7551212.950903607,0,404.95217,2756192.727079849,0
2025-04-24 04:30:00,572.4,2721.1345,2148.7345,1074.36725,7552287.318153607,0,392.14404625,2756584.871126099,0
2025-04-24 05:00:00,592.6,2597.0496,2004.4496,1002.2248,7553289.542953607,0,365.812052,2756950.683178099,0
2025-04-24 05:30:00,603.8,2734.0732,2130.2732,1065.1365999999998,7554354.679553607,0,388.77485899999994,2757339.458037099,0
2025-04-24 06:00:00,617.8,2703.6877,2085.8877,1042.94385,7555397.623403607,0,380.67450525000004,2757720.132542349,0
2025-04-24 06:30:00,629.2,3062.2625,2433.0625,1216.53125,7556614.154653607,0,444.03390625,2758164.1664485987,0
2025-04-24 07:00:00,721.6,3066.976,2345.376,1172.688,7557786.842653607,0,428.03112000000004,2758592.1975685987,0
2025-04-24 07:30:00,1239.0,3021.679,1782.679,891.3395,7558678.182153607,0,325.33891750000004,2758917.5364860985,0
2025-04-24 08:00:00,1617.6,3005.2615,1387.6615000000002,693.8307500000001,7559372.0129036065,0,253.24822375000002,2759170.7847098485,0
2025-04-24 08:30:00,1753.2,3105.8008,1352.6008,676.3004,7560048.313303607,0,246.84964599999998,2759417.6343558487,0
2025-04-24 09:00:00,1723.6,3100.998,1377.398,688.6990000000001,7560737.012303607,0,251.37513500000003,2759669.0094908485,0
2025-04-24 09:30:00,2032.6,3090.4668,1057.8668000000002,528.9334000000001,7561265.945703607,0,193.06069100000005,2759862.0701818485,0
2025-04-24 10:00:00,2005.4000000000003,3090.591,1085.1909999999996,542.5954999999998,7561808.541203607,0,198.04735749999992,2760060.1175393485,0
2025-04-24 10:30:00,2006.8,3092.295,1085.495,542.7475000000001,7562351.288703606,0,198.10283750000002,2760258.2203768487,0
2025-04-24 11:00:00,1902.8,3113.6628,1210.8628,605.4314,7562956.720103607,0,220.982461,2760479.2028378486,0
2025-04-24 11:30:00,2114.6,3106.116,991.516,495.758,7563452.478103607,0,180.95166999999998,2760660.1545078484,0
2025-04-24 12:00:00,1793.6,3099.733,1306.1330000000005,653.0665000000001,7564105.544603607,0,238.36927250000005,2760898.5237803482,0
2025-04-24 12:30:00,1981.6,3101.4697,1119.8697000000002,559.9348500000001,7564665.4794536065,0,204.37622025000002,2761102.9000005983,0
2025-04-24 13:00:00,1849.8,3102.102,1252.302,626.151,7565291.630453606,0,228.54511499999998,2761331.4451155984,0
2025-04-24 13:30:00,1817.6,3108.0955,1290.4955,645.24775,7565936.878203606,0,235.51542874999998,2761566.960544348,0
2025-04-24 14:00:00,1995.2,3109.4922,1114.2922,557.1461,7566494.024303606,0,203.3583265,2761770.318870848,0
2025-04-24 14:30:00,2317.4,3108.3093,790.9092999999998,395.4546499999999,7566889.478953605,0,144.34094724999997,2761914.659818098,0
2025-04-24 15:00:00,1860.4,3107.9385,1247.5385,623.76925,7567513.248203605,0,227.67577625,2762142.335594348,0
2025-04-24 15:30:00,1897.2,3107.8503,1210.6503,605.32515,7568118.573353605,0,220.94367975,2762363.279274098,0
2025-04-24 16:00:00,1850.0,3105.5474,1255.5474,627.7737,7568746.347053605,0,229.13740049999998,2762592.416674598,0
2025-04-24 16:30:00,1639.6,3107.9597,1468.3597,734.17985,7569480.526903605,0,267.97564525,2762860.3923198483,0
2025-04-24 17:00:00,1241.2,3107.2373,1866.0373,933.01865,7570413.545553605,0,340.55180724999997,2763200.944127098,0
2025-04-24 17:30:00,936.4,3106.0945,2169.6945,1084.84725,7571498.392803605,0,395.96924625,2763596.9133733483,0
2025-04-24 18:00:00,806.0,3099.0771,2293.0771,1146.53855,7572644.931353604,0,418.48657075,2764015.399944098,0
2025-04-24 18:30:00,720.8,3093.0833,2372.2833,1186.14165,7573831.073003604,0,432.94170225,2764448.341646348,0
2025-04-24 19:00:00,763.8,3099.108,2335.308,1167.654,7574998.727003604,0,426.19371,2764874.535356348,0
2025-04-24 19:30:00,718.4,3095.5278,2377.1278,1188.5639,7576187.290903605,0,433.8258235,2765308.3611798477,0
