DateTime,Actual Power (kW),Adjusted Baseline Power (kW),Savings Power (kW),Savings Energy (kWh),Cumulative Savings Energy (kWh),Negative Savings Flag,TOU Period,TOU Rate (RM/kWh),TOU Cost Savings (RM),Cumulative TOU Cost Savings (RM),Negative TOU Savings Flag
2025-09-27 02:30:00,306.8,2738.4336,2431.6336,1215.8167999999998,12814199.03171421,0,offpeak,0.281,341.6445208,4135524.547041214,0
2025-09-27 03:00:00,273.0,2731.4136,2458.4136,1229.2068,12815428.238514213,0,offpeak,0.281,345.4071108,4135869.954152014,0
2025-09-27 03:30:00,311.0,2738.129,2427.129,1213.5645,12816641.803014211,0,offpeak,0.281,341.01162450000004,4136210.9657765143,0
2025-09-27 04:00:00,256.0,2741.0261,2485.0261,1242.51305,12817884.31606421,0,offpeak,0.281,349.14616705000003,4136560.1119435644,0
2025-09-27 04:30:00,269.8,2734.1135,2464.3135,1232.15675,12819116.47281421,0,offpeak,0.281,346.23604675000007,4136906.3479903145,0
2025-09-27 05:00:00,293.0,2738.707,2445.707,1222.8535,12820339.326314207,0,offpeak,0.281,343.62183350000004,4137249.9698238145,0
2025-09-27 05:30:00,258.4,2745.0508,2486.6508,1243.3254,12821582.65171421,0,offpeak,0.281,349.37443740000003,4137599.3442612146,0
2025-09-27 06:00:00,301.0,2751.4275,2450.4275,1225.21375,12822807.865464209,0,offpeak,0.281,344.28506375,4137943.6293249647,0
2025-09-27 06:30:00,249.2002,2767.5442,2518.344,1259.172,12824067.037464209,0,offpeak,0.281,353.82733200000007,4138297.4566569645,0
2025-09-27 07:00:00,237.2,2838.2227,2601.0227,1300.51135,12825367.54881421,0,offpeak,0.281,365.44368935000006,4138662.9003463145,0
2025-09-27 07:30:00,338.6014,2898.8833,2560.2819,1280.14095,12826647.68976421,0,offpeak,0.281,359.71960695,4139022.6199532645,0
2025-09-27 08:00:00,344.002,2902.5168,2558.5148,1279.2574,12827926.94716421,0,mid,0.357,456.6948918,4139479.3148450647,0
2025-09-27 08:30:00,512.0046,2899.5154,2387.5108,1193.7554,12829120.70256421,0,mid,0.357,426.17067779999996,4139905.485522865,0
2025-09-27 09:00:00,663.2081999999999,2897.5642,2234.356,1117.178,12830237.88056421,0,mid,0.357,398.83254600000004,4140304.3180688648,0
2025-09-27 09:30:00,743.6128,2903.5874,2159.9746,1079.9873,12831317.867864208,0,mid,0.357,385.5554661,4140689.873534965,0
2025-09-27 10:00:00,880.8168000000001,2905.456,2024.6392,1012.3196,12832330.187464207,0,peak,0.584,591.1946464,4141281.068181365,0
2025-09-27 10:30:00,768.019,2901.065,2133.0460000000003,1066.523,12833396.710464207,0,peak,0.584,622.8494319999999,4141903.9176133648,0
2025-09-27 11:00:00,1024.8176,2902.4082,1877.5906,938.7953,12834335.505764209,0,peak,0.584,548.2564552,4142452.1740685645,0
2025-09-27 11:30:00,1126.6142,2908.6042,1781.9900000000002,890.9950000000001,12835226.500764206,0,peak,0.584,520.34108,4142972.5151485647,0
2025-09-27 12:00:00,657.6106,2905.9834,2248.3728,1124.1864,12836350.687164206,0,peak,0.584,656.5248576,4143629.040006165,0
2025-09-27 12:30:00,554.2078,2898.2876,2344.0798,1172.0399,12837522.727064203,0,peak,0.584,684.4713016,4144313.511307765,0
2025-09-27 13:00:00,432.606,2903.4568,2470.8508,1235.4254,12838758.152464204,0,peak,0.584,721.4884336,4145034.9997413647,0
2025-09-27 13:30:00,667.812,2907.837,2240.025,1120.0125,12839878.164964205,0,peak,0.584,654.0873,4145689.0870413645,0
2025-09-27 14:00:00,914.4092,2904.0354,1989.6262,994.8131,12840872.978064204,0,mid,0.357,355.1482767,4146044.2353180647,0
2025-09-27 14:30:00,816.8045999999999,2900.494,2083.6894,1041.8447,12841914.822764205,0,mid,0.357,371.93855790000003,4146416.1738759647,0
2025-09-27 15:00:00,964.2102,2905.111,1940.9008,970.4504,12842885.273164203,0,mid,0.357,346.4507928,4146762.624668765,0
2025-09-27 15:30:00,652.407,2899.735,2247.328,1123.664,12844008.937164206,0,mid,0.357,401.14804799999996,4147163.772716765,0
2025-09-27 16:00:00,612.4066,2897.8489,2285.4423,1142.72115,12845151.658314206,0,mid,0.357,407.95145055,4147571.724167315,0
2025-09-27 16:30:00,391.205,2900.8564,2509.6514,1254.8257,12846406.484014206,0,mid,0.357,447.9727749,4148019.696942215,0
2025-09-27 17:00:00,703.8076,2886.9749,2183.1673,1091.58365,12847498.067664206,0,mid,0.357,389.69536304999997,4148409.3923052647,0
2025-09-27 17:30:00,419.8062,2851.1714,2431.3652,1215.6826,12848713.750264209,0,mid,0.357,433.9986882,4148843.3909934647,0
2025-09-27 18:00:00,515.8034,2813.3306,2297.5271999999995,1148.7635999999998,12849862.513864206,0,mid,0.357,410.1086051999999,4149253.4995986647,0
2025-09-27 18:30:00,388.2008,2816.9324,2428.7316,1214.3658,12851076.879664209,0,mid,0.357,433.5285906,4149687.0281892647,0
2025-09-27 19:00:00,412.2002,2798.8152,2386.615,1193.3075,12852270.187164206,0,mid,0.357,426.01077749999996,4150113.0389667647,0
2025-09-27 19:30:00,372.0,2783.1062,2411.1062,1205.5531,12853475.740264203,0,mid,0.357,430.38245670000003,4150543.4214234645,0
2025-09-27 20:00:00,391.0,2789.9731,2398.9731,1199.48655,12854675.226814205,0,mid,0.357,428.21669835,4150971.6381218145,0
