DateTime,Actual Power (kW),Adjusted Baseline Power (kW),Savings Power (kW),Savings Energy (kWh),Cumulative Savings Energy (kWh),Negative Savings Flag,CO2 Avoided (kg),Cumulative CO2 Avoided (kg),Cumulative CO2 Avoided (tonnes)
2025-06-28 17:30:00,1031.4092,2528.0955,1496.6862999999998,748.3431499999999,9269252.434309265,0,579.2175980999999,7174401.384155432,7174.4013841554315
2025-06-28 18:00:00,792.806,2529.8777,1737.0717,868.53585,9270120.970159262,0,672.2467479000001,7175073.630903332,7175.073630903332
2025-06-28 18:30:00,569.8024,2527.382,1957.5796,978.7898,9271099.759959262,0,757.5833052,7175831.214208531,7175.8312142085315
2025-06-28 19:00:00,385.2004,2530.2754,2145.075,1072.5375,9272172.29745926,0,830.1440249999999,7176661.358233531,7176.661358233531
2025-06-28 19:30:00,337.0002,2529.3413,2192.3411,1096.17055,9273268.46800926,0,848.4360057,7177509.794239231,7177.509794239231
2025-06-28 20:00:00,321.2,2530.8955,2209.6955000000003,1104.84775,9274373.315759262,0,855.1521584999999,7178364.946397731,7178.364946397731
2025-06-28 20:30:00,329.4,2524.4368,2195.0368,1097.5184,9275470.834159262,0,849.4792416,7179214.425639331,7179.214425639331
2025-06-28 21:00:00,328.4,2519.4902,2191.0902,1095.5451,9276566.379259262,0,847.9519074000001,7180062.377546731,7180.062377546731
2025-06-28 21:30:00,330.6,2514.7688,2184.1688,1092.0844,9277658.463659262,0,845.2733256,7180907.650872331,7180.907650872331
2025-06-28 22:00:00,317.6,2496.056,2178.456,1089.228,9278747.691659262,0,843.0624720000001,7181750.713344331,7181.7507133443305
2025-06-28 22:30:00,92.6,2445.1116,2352.5116000000003,1176.2558,9279923.947459262,0,910.4219892,7182661.135333531,7182.66113533353
2025-06-28 23:00:00,70.0,2299.5186,2229.5186,1114.7593,9281038.70675926,0,862.8236982,7183523.959031731,7183.523959031731
2025-06-28 23:30:00,70.0,2034.172,1964.172,982.086,9282020.79275926,0,760.1345640000001,7184284.093595731,7184.284093595731
2025-06-29 00:00:00,66.4,1902.7451,1836.3451,918.17255,9282938.96530926,0,710.6655537,7184994.759149431,7184.994759149431
2025-06-29 00:30:00,66.4,1927.1384,1860.7384,930.3692,9283869.33450926,0,720.1057608,7185714.864910231,7185.714864910231
2025-06-29 01:00:00,66.20000000000002,1919.083,1852.883,926.4415,9284795.776009262,0,717.065721,7186431.930631231,7186.431930631231
2025-06-29 01:30:00,63.99999999999999,1867.3832,1803.3832,901.6916,9285697.467609262,0,697.9092984,7187129.839929631,7187.129839929631
2025-06-29 02:00:00,58.4,1839.9755,1781.5755,890.78775,9286588.255359262,0,689.4697185,7187819.309648131,7187.819309648131
